repetition_time,study_time,knowledge_level
0,0,Low
0.24,0.9,High
0.25,0.33,Low
0.65,0.3,High
0.98,0.24,Low
0.1,0.66,High
0.29,0.56,High
0.4,0.01,Low
0.72,0.25,Low
0.2,0.85,High
0.3,0.81,High
0.41,0.3,Low
0.78,0.34,High
0.15,0.9,High
0.3,0.6,High
0.35,0.8,High
0.01,0.05,Low
0.08,0.33,Low
0.27,0.29,Low
0.49,0.56,High
0.78,0.2,Low
0.12,0.66,High
0.29,0.65,High
0.42,0.28,Low
0.76,0.25,Low
0.18,0.85,High
0.25,0.1,Low
0.45,0.25,Low
0.94,0.56,High
0.21,0.81,High
0.31,0.59,High
0.65,0.24,Low
0.76,0.16,Low
0.19,0.82,High
0.31,0.78,High
0.43,0.29,Low
0.72,0.26,Low
0.08,0.33,Low
0.26,0,Low
0.49,0.45,High
0.76,0.1,Low
0.2,0.78,High
0.29,0.6,High
0.64,0.25,High
0.27,0.04,Low
0.14,0.66,High
0.31,0.62,High
0.38,0.77,High
0.71,0.9,High
0.18,0.67,High
0.28,0.25,Low
0.51,0.45,High
0.78,0.05,Low
0.18,0.86,High
0.29,0.55,High
0.42,0.26,Low
0.84,0.25,High
0.19,0.59,High
0.33,0.82,High
0.64,0.1,Low
0.75,0.01,Low
0.19,0.56,High
0.3,0.51,High
0.48,0.28,Low
0.8,0.28,High
0.09,0.15,Low
0.26,0.24,Low
0.55,0.51,High
0.28,0.32,Low
0.02,0.67,High
0.29,0.58,High
0.42,0.75,High
0.66,0.08,Low
0.3,0.53,High
0.33,0.78,High
0.4,0.1,Low
0.75,0.1,Low
0.1,0.3,Low
0.26,0.2,Low
0.44,0.28,Low
0.76,0.24,Low
0.12,0.67,High
0.29,0.62,High
0.48,0.26,Low
0.7,0.25,Low
0.2,0.03,Low
0.31,0.79,High
0.41,0.28,Low
0.78,0.18,Low
0.09,0.67,High
0.29,0.56,High
0.78,0.34,High
0.6,0.09,Low
0.23,0.24,Low
0.32,0.8,High
0.62,0.15,Low
0.77,0.19,Low
0.33,0.77,High
0.29,0.57,High
0.42,0.29,Low
0.48,0.26,Low
0.33,0.87,High
0.31,0.54,High
0.49,0.27,Low
0.76,0.1,Low
0.25,0.67,High
0.29,0.59,High
0.4,0.54,High
0.81,0.3,High
0.37,0.84,High
0.27,0.33,Low
0.4,0.3,Low
0.89,0.58,High
0.4,0.79,High
0.31,0.55,High
0.61,0.45,High
0.66,0.07,Low
0.8,0.7,High
0.17,0.66,High
0.32,0.81,High
0.65,0.13,Low
0.72,0.25,Low
0.11,0.333,Low
0.25,0.83,High
0.49,0.76,High
0.92,0.5,High
0.22,0.66,High
0.28,0.28,Low
0.63,0.14,Low
0.88,0.28,High
0.06,0.34,Low
0.26,0.67,High
0.55,0.07,Low
0.7,0.71,High
0.1,0.65,High
0.31,0.5,High
0.48,0.26,Low
0.78,0.1,Low
0.18,0.58,High
0.27,0.3,Low
0.55,0.1,Low
0.78,0.4,High
0.22,0.56,High
0.22,0.29,Low
0.56,0.48,High
0.95,0.65,High
0.24,0.35,Low
0.33,0.1,Low
0.64,0.13,Low
0.65,0.77,High
0.14,0.86,High
0.32,0.3,Low
0.48,0.13,Low
0.77,0.14,Low
0.09,0.64,High
0.33,0.52,High
0.36,0.51,High
0.77,0.83,High
0.18,0.59,High
0.31,0.54,High
0.61,0.18,Low
0.84,0.3,High
0.24,0.88,High
0.27,0.89,High
0.49,0.12,Low
0.3,0.9,High
0.2,0.61,High
0.49,0.78,High
0.6,0.16,Low
0.21,0.92,High
0.04,0.25,Low
0.33,0.49,High
0.53,0.85,High
0.75,0.16,Low
0.12,0.66,High
0.33,0.3,Low
0.65,0.19,Low
0.75,0.71,High
0.22,0.6,High
0.26,0.83,High
0.63,0.18,Low
0.99,0.55,High
0.24,0.89,High
0.29,0.3,Low
0.62,0.2,Low
0.78,0.21,Low
0.01,0.93,High
0.29,0.57,High
0.55,0.25,Low
0.9,0.47,High
0.16,0.64,High
0.3,0.8,High
0.4,0.5,High
0.88,0.67,High
0.11,0.66,High
0.25,0.29,Low
0.48,0.1,Low
0.72,0.26,Low
0.18,0.63,High
0.3,0.1,Low
0.55,0.09,Low
0.65,0.5,High
0.08,0.1,Low
0.3,0.29,Low
0.65,0.75,High
0.81,0.15,Low
0.09,0.66,High
0.31,0.53,High
0.48,0.11,Low
0.8,0.68,High
0.14,0.62,High
0.31,0.51,High
0.58,0.79,High
0.83,0.34,High
0.2,0.6,High
0.29,0.3,Low
0.5,0.3,Low
0.87,0.58,High
0.17,0.64,High
0.28,0.3,Low
0.62,0.24,Low
0.78,0.28,High
0.2,0.66,High
0.31,0.57,High
0.63,0.21,Low
0.82,0.68,High
0.23,0.59,High
0.29,0.31,Low
0.55,0.78,High
0.7,0.69,High
0.12,0.65,High
0.28,0.28,Low
0.59,0.23,Low
0.91,0.66,High
0.15,0.62,High
0.27,0.3,Low
0.6,0.22,Low
0.4,0.83,High
0.13,0.64,High
0.3,0.52,High
0.62,0.2,Low
0.78,0.86,High
0.18,0.63,High
0.27,0.25,Low
0.65,0.25,High
0.89,0.88,High
0.1,0.66,High
0.29,0.29,Low
0.65,0.9,High
0.79,0.45,High
0.09,0.66,High
0.31,0.5,High
0.64,0.19,Low
0.92,0.58,High
0.19,0.6,High
0.29,0.77,High
0.61,0.26,High
0.87,0.74,High
